Journal,language requirements,language requirements notes,language requirements binned,editing services,author guidelines suggest peer review,Authors are recommended in guidelines to suggest reviewers from diverse backgrounds (select no if there are no guidelines),authors suggest diverse reviews binned,guidelines multiple countries,guidelines multiple institutions,guidelines ecr,guidelines gender,guidelines another demographic enthnicity or race,guidelines another demographic other,guidelines to be reviewer,guidelines link publisher,guidelines reviewer specific journal,guidelines social justice,guidelines esl,blind format,journal publish peer reviews,continent,eic_01,eic_02,eic_03,eic_04,eic_05,eic_06,eic_07,eic_08,eic_09,JCR 2020 IF,JIF_bin,JCR 2020 IF sans self citations ,JCR 2020 JCI,Language in JCR,Country based in on JCR,Publisher on JCR,Publisher from JCR but binned by larger company,Publisher major minor,society,Society listed,Society_publisher,First year in JCR,Website URL,Secondary website domain,Notes,Overall Tier Score,Notes on tier scoring,Source
Genetics,Offers editing but doesn't strongly suggest or recommend that people use it,"""If you are not confident in the quality of your English, you may wish to use a language-editing service to ensure that editors and reviewers understand your paper. Language editing is optional and does not guarantee that your manuscript will be accepted. Edited manuscripts will still undergo peer review by the journal.""",4,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,Yes,Northern America,Canada,,,,,,,,,4.562,Mid,4.346,1.08,English,United States,OXFORD UNIV PRESS INC,OXFORD UNIVERSITY PRESS,Major,Genetics Society of America,Society,Major_Society,1997,https://www.genetics.org/,,,Tier 1,,"Original list (publisher, personal knowledge)"
GENETICS AND MOLECULAR BIOLOGY,No mention of language editing in author guidelines or doesn't have author guidelines,"""Manuscripts must be written in English.""",1,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,No,South America,Brazil,Brazil,,,,,,,,1.771,Low,1.721,0.38,Multi-Language,BRAZIL,SOC BRASIL GENETICA,SOCIEDAD BRASILERA DE GENETICA,Minor,Brazilian Society of Genetics,Society,Minor_Society,1998,https://www.gmb.org.br/,,,Tier 1,,JCR
Genetics and Molecular Research,No mention of language editing in author guidelines or doesn't have author guidelines,"""Manuscripts must be submitted in English.""",1,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,South America,Brazil,,,,,,,,,NA,NA,NA,0.16,English,BRAZIL,FUNPEC-EDITORA,FUNPEC-EDITORA,Minor,NA,Not_society,Minor_Not_society,2008,https://www.geneticsmr.com/,,No impact factors listed since 2015 for the journal (last 0.764),Tier 2,,"Original list (publisher, personal knowledge)"
Genetics Research,Other (describe in adjacent column),"""Free of charge, full language editing report at point of submission, to help you assess and improve your manuscript prior to peer review. We have partnered with a number of leading author services providers to offer our authors an exclusive 10% discount on a wide range of manuscript preparation and post-publication services. This discount applies to various language editing, translation, and research communication services. Learn more about author services.""",7,Partial waivers available,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Assumed_single,No,Unclear,NA,,,,,,,,,1.588,Low,1.529,0.26,English,United Kingdom,CAMBRIDGE UNIV PRESS,CAMBRIDGE UNIV PRESS,Minor,NA,Not_society,Minor_Not_society,1997,https://www.hindawi.com/journals/gr/,,Published both by Cambridge University Press and Hindawi (I think). Listed as Cambridge University Press in Clarivate. ,Tier 1,,JCR
Genetics Selection Evolution,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
""Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,No,Unclear,France,Netherlands,United States,France,,,,,,4.297,Mid,3.8,1.6,Multi-Language,FRANCE,BMC,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://gsejournal.biomedcentral.com/,,This is a BMC journal that is a subsidiary of Springer. ,Tier 1,,"Original list (publisher, personal knowledge)"
Genetika-Belgrade,No mention of language editing in author guidelines or doesn't have author guidelines,"Articles must be English, but no mention of editing services",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Europe,Serbia,,,,,,,,,0.761,Low,0.522,0.2,English,SERBIA,SERBIAN GENETICS SOC,SERBIAN GENETICS SOCIETY,Minor,Serbian Genetic Society,Society,Minor_Society,2011,https://www.dgsgenetika.org.rs/publications/journals-genetika/,,,Tier 1,"In different language, evolutionary based on aims and scope only",JCR
Genome,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
""Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Single,No,Northern America,Canada,Canada,,,,,,,,2.166,Low,2.134,0.56,Multi-Language,CANADA,CANADIAN SCIENCE PUBLISHING,CANADIAN SCIENCE PUBLISHING,Minor,NA,Not_society,Minor_Not_society,1997,https://cdnsciencepub.com/gen,,Publisher guidelines mention social justice; not specific to journal,Tier 1,,JCR
Genome Biology,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
""Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,Yes,Europe,United Kingdom,,,,,,,,,13.583,High,13.141,3.04,English,United Kingdom,BMC,SPRINGER,Major,NA,Not_society,Major_Not_society,2005,https://genomebiology.biomedcentral.com/,,"The link on the website to the editorial board doesn't have an EIC listed, but there was a page with an EIC from the UK listed when I googled ""Genome Biology Editor-in-Chief."" This is a BMC journal that is a subsidiary of Springer. ",Tier 1,,"Original list (publisher, personal knowledge)"
Genome Biology and Evolution,Offers editing but doesn't strongly suggest or recommend that people use it,"""Language editing, if your first language is not English, to ensure that the academic content of your paper is fully understood by journal editors and reviewers is optional. Language editing does not guarantee that your manuscript will be accepted for publication. See our Language services for more information on this service. Several specialist language editing companies offer similar services and you can also use any of these. Authors are liable for all costs associated with such services.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,United Kingdom,United States,,,,,,,,3.416,Mid,3.218,0.88,English,United Kingdom,OXFORD UNIV PRESS,OXFORD UNIVERSITY PRESS,Major,Society for Molecular Biology & Evolution,Society,Major_Society,2010,https://academic.oup.com/gbe,,,Tier 1,,"Original list (publisher, personal knowledge)"
Genome Research,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Northern America,United States,,,,,,,,,9.043,Mid,8.834,2.69,English,United States,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT","COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",Minor,NA,Not_society,Minor_Not_society,1997,https://genome.cshlp.org/,,,Tier 1,,JCR
Genomics,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services""",5,Authors pay for editing,Yes,Yes,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Single,No,Unclear,United Kingdom,,,,,,,,,5.736,Mid,5.274,1.31,English,United States,ACADEMIC PRESS INC ELSEVIER SCIENCE,ELSEVIER,Major,NA,Not_society,Major_Not_society,1997,https://www.journals.elsevier.com/genomics,,,Tier 2,,"Original list (publisher, personal knowledge)"
Genomics and Informatics,No mention of language editing in author guidelines or doesn't have author guidelines,"""Only manuscripts written in English under the Genomics & Informatics author guidelines are accepted.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Asia,"Korea, Republic Of",,,,,,,,,NA,NA,NA,NA,English,"Korea, Republic Of",KOREA GENOME ORGANIZATION,KOREA GENOME ORGANIZATION,Minor,Korea Genome Organization,Society,Minor_Society,Not in JCR,https://genominfo.org/,,,Tier 2,,"Original list (publisher, personal knowledge)"
Geobiology,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Wiley Editing Services can greatly improve the chances of a manuscript being accepted. Your manuscript may also be sent back to you for revision if the quality of English language is poor.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Double_optional,No,Unclear,Canada,,,,,,,,,4.407,Mid,3.988,1.33,English,United Kingdom,WILEY,WILEY,Major,NA,Not_society,Major_Not_society,2007,https://onlinelibrary.wiley.com/journal/14724669,,Publisher guidelines mention social justice; not specific to journal,Tier 2,,JCR
Geocarto International,Offers editing but doesn't strongly suggest or recommend that people use it,"""To help you improve your manuscript and prepare it for submission, Taylor & Francis provides a range of editing services. Choose from options such as English Language Editing, which will ensure that your article is free of spelling and grammar errors, Translation, and Artwork Preparation.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Unclear,United States,United States,United States,,,,,,,4.889,Mid,4.398,1.1,English,United Kingdom,TAYLOR & FRANCIS LTD,TAYLOR AND FRANCIS,Major,NA,Not_society,Major_Not_society,2012,https://www.tandfonline.com/journals/tgei20,,,Tier 3,,JCR
Gigascience,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
""""Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Open,Yes,Unclear,China,,,,,,,,,6.524,Mid,6.276,1.46,English,United Kingdom,OXFORD UNIV PRESS,OXFORD UNIVERSITY PRESS,Major,NA,Not_society,Major_Not_society,2015,https://academic.oup.com/gigascience,,,Tier 3,,"Original list (publisher, personal knowledge)"
Global Change Biology,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Wiley Editing Services can greatly improve the chances of a manuscript being accepted. Your manuscript may also be sent back to you for revision if the quality of English language is poor.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Open,No,Northern America,United States,,,,,,,,,10.863,High,10.034,2.55,English,United Kingdom,WILEY,WILEY,Major,NA,Not_society,Major_Not_society,1997,https://onlinelibrary.wiley.com/journal/13652486,,Two JCR entries for this one because it was published by Blackwell through 1999,Tier 2,,"Original list (publisher, personal knowledge)"
Global Ecology and Biogeography,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Wiley Editing Services can greatly improve the chances of a manuscript being accepted. Your manuscript may also be sent back to you for revision if the quality of English language is poor.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Double_required,No,Unclear,Canada,United Kingdom,United Kingdom,,,,,,,7.148,Mid,6.744,1.94,English,United Kingdom,WILEY,WILEY,Major,NA,Not_society,Major_Not_society,1997,https://onlinelibrary.wiley.com/journal/14668238,,,Tier 1,,"Original list (publisher, personal knowledge)"
Global Ecology and Conservation,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services""",5,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,No,Unclear,United States,Malaysia,,,,,,,,3.38,Mid,3.016,0.86,English,NETHERLANDS,ELSEVIER,ELSEVIER,Major,NA,Not_society,Major_Not_society,2017,https://www.journals.elsevier.com/global-ecology-and-conservation,,,Tier 1,,"Original list (publisher, personal knowledge)"
GRANA,Offers editing but doesn't strongly suggest or recommend that people use it,"""To help you improve your manuscript and prepare it for submission, Taylor & Francis provides a range of editing services. Choose from options such as English Language Editing, which will ensure that your article is free of spelling and grammar errors, Translation, and Artwork Preparation.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Unclear,Sweden,,,,,,,,,1.359,Low,1.047,0.43,Multi-Language,NORWAY,TAYLOR & FRANCIS AS,TAYLOR AND FRANCIS,Major,NA,Not_society,Major_Not_society,1997,https://www.tandfonline.com/journals/sgra20,,"Says the journal is single blind in aims & scope, but the author guidelines states double blind",Tier 1,"focused on pollen and spores, which includes a lot of taxa",JCR
GRASS AND FORAGE SCIENCE,Offers editing but doesn't strongly suggest or recommend that people use it,"""Wiley Editing Services offers expert help with English Language Editing, as well as translation, manuscript formatting, figure illustration, figure formatting, and graphical abstract design – so you can submit your manuscript with confidence.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,Netherlands,Australia,,,,,,,,2.63,Low,2.273,0.89,English,United Kingdom,WILEY,WILEY,Major,"British Grassland Society, European Grassland Federation",Society,Major_Society,1997,https://onlinelibrary.wiley.com/journal/13652494,,Publisher guidelines mention social justice; not specific to journal,Tier 3,,JCR
HASELTONIA,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Authors for whom English is not their first language are strongly encouraged to have their manuscript proof-read by someone whose is.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Northern America,United States,,,,,,,,,0.815,Low,0.741,0.17,English,United States,CACTUS SUCCULENT SOC AMER INC,CACTUS SUCCULENT SOC AMER INC,Minor,Cactus and Succulent Society of America,Society,Minor_Society,1997,https://bioone.org/journals/haseltonia/scope-and-details,http://cactusandsucculentsociety.org/#CSSA%20Journals%20and%20Back%20Issues,"Doesn't necessarily peer review articles: ""Technical articles may be peer-reviewed at the 
Editor’s discretion""",Tier 3,,JCR
Heredity,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Authors who are not native speakers of English sometimes receive negative comments from referees or editors about the language and grammar usage in their manuscripts, which can contribute to a paper being rejected. To reduce the possibility of such problems, we strongly encourage such authors to take at least one of the following steps. -Have your manuscript reviewed for clarity by a colleague with a good knowledge of English language and grammar. -Visiting the English language tutorial which covers the common mistakes when writing in English. -Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. """,6,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Europe,United Kingdom,,,,,,,,,3.821,Mid,3.681,0.98,English,United Kingdom,SPRINGERNATURE,SPRINGER,Major,Genetics Society,Society,Major_Society,1997,https://www.nature.com/hdy/,,,Tier 1,,"Original list (publisher, personal knowledge)"
Hidrobiologica,"Journal publishes articles in more than one language (e.g., Spanish and English)",also publishes in Spanish,2,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Northern America,Mexico,,,,,,,,,0.288,Low,0.288,0.12,English,MEXICO,UNIV AUTONOMA METROPOLITANA-IZTAPALAPA,UNIVERSIDAD AUTONOMA METROPOLITANA-IZTAPALAPA,Minor,NA,Not_society,Minor_Not_society,2007,https://hidrobiologica.izt.uam.mx/index.php/revHidro,,,Tier 1,,JCR
Horticulture Research,Offers editing but doesn't strongly suggest or recommend that people use it,"""If you are not confident in the quality of your English, you may wish to use a language-editing service to ensure that editors and reviewers understand your paper. Language editing is optional and does not guarantee that your manuscript will be accepted. Edited manuscripts will still undergo peer review by the journal.""",4,Partial waivers available,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Asia,United States,,,,,,,,,6.793,Mid,6.236,1.97,English,China,NANJING AGRICULTURAL UNIV,OXFORD UNIVERSITY PRESS,Major,NA,Not_society,Major_Not_society,2016,https://academic.oup.com/hr,,"The publisher is listed as NANJING AGRICULTURAL UNIV in JCR, but it is published by Oxford, so I used that for publisher",Tier 3,very specific area of plant biology,JCR
Human and Ecological Risk Assessment,Offers editing but doesn't strongly suggest or recommend that people use it,"""To help you improve your manuscript and prepare it for submission, Taylor & Francis provides a range of editing services. Choose from options such as English Language Editing, which will ensure that your article is free of spelling and grammar errors, Translation, and Artwork Preparation.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Europe,United States,,,,,,,,,5.19,Mid,4.584,1.1,English,United States,TAYLOR & FRANCIS INC,TAYLOR AND FRANCIS,Major,NA,Not_society,Major_Not_society,1998,https://www.tandfonline.com/toc/bher20/current,,,Tier 3,,"Original list (publisher, personal knowledge)"
HYDROBIOLOGIA,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Scientists who use English as a foreign language are strongly recommended to have their manuscript read by a native English_speaking colleague. Manuscripts which are substandard in these respects will be returned without review.""",6,Partial waivers available,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Unclear,Belgium,,,,,,,,,2.694,Low,2.414,1.03,English,NETHERLANDS,SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://www.springer.com/journal/10750,,,Tier 1,,JCR
ICES JOURNAL OF MARINE SCIENCE,Other (describe in adjacent column),"""The Journal recognises the challenges of non-English speaking authors; manuscripts will only be rejected on the basis of language if initial review is not possible due to an inability to understand the content. However, a standard of English appropriate for an international journal will make the work of the reviewers easier and will increase the chance of a more favourable reception.""",7,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Double_optional,No,Unclear,Norway,,,,,,,,,3.593,Mid,3.229,1.31,English,United Kingdom,OXFORD UNIV PRESS,OXFORD UNIVERSITY PRESS,Major,International Council for the Exploration of the Sea,Society,Major_Society,1997,https://academic.oup.com/icesjms,,,Tier 3,"aims include ""marine habitats, living resources""",JCR
Ideas in Ecology and Evolution,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""The manuscript must be well-written with high quality English and must be free from unprofessional or frivolous language or content. Authors whose first language is not English are strongly advised, before submission, to have their paper edited carefully by a qualified English-speaking editorial consultant or service - e.g. see http://www.journalexperts.com/ or http://www.enago.com/ or http://www.bioedit.co.uk or http://www.editage.com/. Enago currently offer a 20% discount (Code IEE20) on first-time use of their services to authors submitting manuscripts to IEE. Bioedit currently offers a 10% discount to authors citing submission to IEE when sending their manuscript for English editing. Editage currently offers a 10% discount to authors citing submission to IEE and the coupon code 'QUEENS'."" ""the first language of the corresponding author is English; or if not, then the manuscript has been edited carefully by a qualified English-speaking editorial consultant.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Other,Yes,Northern America,Canada,,,,,,,,,NA,NA,NA,0.13,English,CANADA,QUEENS UNIV,QUEENS UNIVERSITY,Minor,NA,Not_society,Minor_Not_society,2020,https://ojs.library.queensu.ca/index.php/IEE,,Offers both traditional peer review and author-directed peer-review (ADPR); author can choose what they prefer. First year in JCR is 2020 so no impact factor available,Tier 1,,JCR
IEEE Transactions on Evolutionary Computation,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Sometimes IEEE TEVC receives submissions that suffer from poor English usage and readability. Such manuscripts often get rejected because of extremely poor readability. Authors, at their own cost, may take the help of American Journal Experts for pre-submission professional editing services. An author willing to get assistance with English grammar and usage prior to submitting his/her manuscripts for review or during the review process can go directly to https://www.aje.com/en to submit a manuscript for copy editing. Various levels of editing services are available. Cost estimates as well as required time are available immediately on line. We cannot guarantee that the linguistic quality of an edited manuscript will meet your expectation. As expected, an edited manuscript will undergo usual reviews.""",5,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,Mexico,,,,,,,,,11.554,High,10.403,3.09,English,United States,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,Minor,IEE Computational Intelligence Society,Society,Minor_Society,2001,https://cis.ieee.org/publications/t-evolutionary-computation,,The journal allows publication of post-review comments by readers that are reviewed by the original article's authors and the EIC,Tier 1,,"Original list (publisher, personal knowledge)"
IHERINGIA SERIE BOTANICA,"Journal publishes articles in more than one language (e.g., Spanish and English)","also publishes in Spanish, Portuguese, or English",2,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,South America,Brazil,,,,,,,,,0.633,Low,0.592,0.1,Multi-Language,BRAZIL,"FUNDACAO ZOOBOTANICA RIO GRANDE SUL, MUSEU CIENCIAS NATURAI","FUNDACAO ZOOBOTANICA RIO GRANDE SUL, MUSEU CIENCIAS NATURAI",Minor,NA,Not_society,Minor_Not_society,2010,https://isb.emnuvens.com.br/iheringia,,,Tier 1,,JCR
IHERINGIA SERIE ZOOLOGIA,"Journal publishes articles in more than one language (e.g., Spanish and English)","also publishes in Spanish, Portuguese, or English",2,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,South America,Brazil,,,,,,,,,0.885,Low,0.869,0.38,Portuguese,BRAZIL,"FUNDACAO ZOOBOTANICA RIO GRANDE SUL, MUSEU CIENCIAS NATURAI","FUNDACAO ZOOBOTANICA RIO GRANDE SUL, MUSEU CIENCIAS NATURAI",Minor,NA,Not_society,Minor_Not_society,2007,https://www.scielo.br/journal/isz/,,,Tier 1,,JCR
IIOAB Journal,No mention of language editing in author guidelines or doesn't have author guidelines,"""Submission language: English.""",1,Journal doesn't mention language editing,Yes,Yes,3,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Double_required,No,Asia,Brazil,,,,,,,,,NA,NA,NA,0.03,English,INDIA,INST INTEGRATIVE OMICS & APPLIED BIOTECHNOLOGY,INST INTEGRATIVE OMICS & APPLIED BIOTECHNOLOGY,Minor,NA,Not_society,Minor_Not_society,2020,https://www.iioab.org/,,First year in JCR is 2020 so no impact factor is available,Tier 3,,JCR
Indian Journal of Ecology,No mention of language editing in author guidelines or doesn't have author guidelines,There is a link for editing surfaces but there is no mention of this in the author guidelines or anywhere else on the website. It doesn't state language requirements either.,1,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Asia,India,,,,,,,,,NA,NA,NA,NA,English,INDIA,INDIAN ECOLOGICAL SOCIETY,INDIAN ECOLOGICAL SOCIETY,Minor,Indian Ecological Society,Society,Minor_Society,Not in JCR,http://indianecologicalsociety.com/society/journal/,,Publisher not specified but appears to be the society itself,Tier 1,,"Original list (publisher, personal knowledge)"
"Infection, Genetics and Evolution","Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services""",5,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,Spain,Italy,,,,,,,,3.342,Mid,3.167,0.89,English,NETHERLANDS,ELSEVIER,ELSEVIER,Major,NA,Not_society,Major_Not_society,2007,https://www.journals.elsevier.com/infection-genetics-and-evolution,,,Tier 3,,"Original list (publisher, personal knowledge)"
Inland Water Biology,"Journal publishes articles in more than one language (e.g., Spanish and English)",also publishes in Russian and English,2,Journal doesn't mention language editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Europe,Russia,,,,,,,,,0.472,Low,0.38,0.2,English,RUSSIA,MAIK NAUKA/INTERPERIODICA/SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,2008,https://www.springer.com/journal/12212,,,Tier 1,,JCR
INSECT SYSTEMATICS & EVOLUTION,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Contributions must be written in English. Both American and British English are acceptable. Spelling should be consistent throughout. It is extremely important that the manuscript is free of grammatical and typographical errors, so that it is clearly understandable to readers. If the authors are not native English speakers, it is strongly advised that they work with a native English speaker to improve the
quality of the manuscript before submission. Poor writing alone can be a reason for rejection.""",6,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Unclear,United States,,,,,,,,,1.8,Low,1.743,0.72,English,NETHERLANDS,BRILL,BRILL,Minor,NA,Not_society,Minor_Not_society,2000,https://brill.com/view/journals/ise/ise-overview.xml,,,Tier 3,,JCR
Insects,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""If you are not a native English speaker, we recommend that you have your manuscript professionally edited before submission or read by a native English-speaking colleague. This can be carried out by MDPI's English editing service. Professional editing will enable reviewers and future readers to more easily read and assess the content of submitted manuscripts. All accepted manuscripts undergo language editing, however an additional fee will be charged to authors if very extensive English corrections must be made by the Editorial Office: pricing is according to the service here.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,Yes,Europe,United States,,,,,,,,,2.769,Low,2.32,1.14,English,SWITZERLAND,MDPI,MDPI,Minor,NA,Not_society,Minor_Not_society,2017,https://www.mdpi.com/journal/insects,,,Tier 3,,"Original list (publisher, personal knowledge)"
Integrative Organismal Biology,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Northern America,United States,,,,,,,,,NA,NA,NA,0.63,English,United States,OXFORD UNIV PRESS,OXFORD UNIVERSITY PRESS,Major,Society for Integrative and Comparative Biology,Society,Major_Society,2020,https://academic.oup.com/iob,,First year in JCR is 2020 so no impact factor is available,Tier 1,,JCR
Integrative Zoology,Offers editing but doesn't strongly suggest or recommend that people use it,"""Wiley Editing Services offers expert help with English Language Editing, as well as translation, manuscript formatting, figure illustration, figure formatting, and graphical abstract design – so you can submit your manuscript with confidence.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Double_required,No,Asia,China,,,,,,,,,2.654,Low,2.477,1.44,English,China,WILEY,WILEY,Major,International Society of Zoological Sciences,Society,Major_Society,2010,https://onlinelibrary.wiley.com/journal/17494877,,,Tier 1,,JCR
