Study,Study type,Author position,Demographic,Demographic category,Author country,Assessor,Reviewer country,Reviewer.demographic,Continent,Language,HDI,Reviewer ordinal scores,Min value,Max value,Reviewer_rescaled,Total manuscripts,Accept,Minor revision,Major revision,Reject with invitation to resubmit,Reject,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Opthof et al. (2002),Observational,First,Country,Not United States,Unknown,Reviewer,Not United States,NA,North America,English,0.89,71.43,0,100,0.7143,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not United States,Unknown,Reviewer,Not United States,NA,North America,English,0.89,71.43,0,100,0.7143,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not United Kingdom,Unknown,Reviewer,United Kingdom,NA,Europe,English,0.868,84.53,0,100,0.8453,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Not United Kingdom,Unknown,Reviewer,United Kingdom,NA,Europe,English,0.868,84.53,0,100,0.8453,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not United Kingdom,Unknown,Reviewer,United Kingdom,NA,Europe,English,0.868,84.53,0,100,0.8453,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not United States,Unknown,Reviewer,United States,NA,North America,English,0.89,57.93,0,100,0.5793,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Not United States,Unknown,Reviewer,United States,NA,North America,English,0.89,57.93,0,100,0.5793,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not United States,Unknown,Reviewer,United States,NA,North America,English,0.89,57.93,0,100,0.5793,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Zhang (2012),Observational,Corresponding,Country,China,Known,Reviewer,China,Match,Asia,Not English,0.687,1.281124498,1,2,0.281124498,249,179,NA,NA,NA,70,2009.5,Life sciences,Other Biological Science,NA,Reviewer scores,"The study classifies ""accept"" as ""positive recommendations"" including ""accept,"" ""minor revision,"" or ""major revision."" The study classifies ""reject"" as ""resubmit,"" ""reject,"" and ""resubmit as short communication."" The study provides data for reviewers from the United States and United Kingdom that are binned into ""not-China."" This study says, ""157 manuscripts submitted to the journal during 2009 and 2010 were studied, including 140 manuscripts with all Chinese authors and 17 manuscripts with at least one Chinese corresponding author or Chinese first author. All manuscripts were original submissions (revised manuscripts were excluded).” Accordingly, >89% of the total papers had 100% Chinese authors. We repeated this line once for first and once for corresponding since we couldn't separate them, and > 89% of submissions were known to be Chinese authors in both positions. "
Zhang (2012),Observational,First,Country,China,Known,Reviewer,China,Match,Asia,Not English,0.687,1.281124498,1,2,0.281124498,249,179,NA,NA,NA,70,2009.5,Life sciences,Other Biological Science,NA,Reviewer scores,"The study classifies ""accept"" as ""positive recommendations"" including ""accept,"" ""minor revision,"" or ""major revision."" The study classifies ""reject"" as ""resubmit,"" ""reject,"" and ""resubmit as short communication."" The study provides data for reviewers from the United States and United Kingdom that are binned into ""not-China."" This study says, ""157 manuscripts submitted to the journal during 2009 and 2010 were studied, including 140 manuscripts with all Chinese authors and 17 manuscripts with at least one Chinese corresponding author or Chinese first author. All manuscripts were original submissions (revised manuscripts were excluded).” Accordingly, >89% of the total papers had 100% Chinese authors. We repeated this line once for first and once for corresponding since we couldn't separate them, and > 89% of submissions were known to be Chinese authors in both positions. "
Zhang (2012),Observational,Corresponding,Country,China,Known,Reviewer,Not China,Not match,Asia,Not English,0.687,1.213114754,1,2,0.213114754,183,144,NA,NA,NA,39,2009.5,Life sciences,Other Biological Science,NA,Reviewer scores,"The study classifies ""accept"" as ""positive recommendations"" including ""accept,"" ""minor revision,"" or ""major revision."" The study classifies ""reject"" as ""resubmit,"" ""reject,"" and ""resubmit as short communication."" The study provides data for reviewers from the United States and United Kingdom that are binned into ""not-China."" This study says, ""157 manuscripts submitted to the journal during 2009 and 2010 were studied, including 140 manuscripts with all Chinese authors and 17 manuscripts with at least one Chinese corresponding author or Chinese first author. All manuscripts were original submissions (revised manuscripts were excluded).” Accordingly, >89% of the total papers had 100% Chinese authors. We repeated this line once for first and once for corresponding since we couldn't separate them, and > 89% of submissions were known to be Chinese authors in both positions. "
Zhang (2012),Observational,First,Country,China,Known,Reviewer,Not China,Not match,Asia,Not English,0.687,1.213114754,1,2,0.213114754,183,144,NA,NA,NA,39,2009.5,Life sciences,Other Biological Science,NA,Reviewer scores,"The study classifies ""accept"" as ""positive recommendations"" including ""accept,"" ""minor revision,"" or ""major revision."" The study classifies ""reject"" as ""resubmit,"" ""reject,"" and ""resubmit as short communication."" The study provides data for reviewers from the United States and United Kingdom that are binned into ""not-China."" This study says, ""157 manuscripts submitted to the journal during 2009 and 2010 were studied, including 140 manuscripts with all Chinese authors and 17 manuscripts with at least one Chinese corresponding author or Chinese first author. All manuscripts were original submissions (revised manuscripts were excluded).” Accordingly, >89% of the total papers had 100% Chinese authors. We repeated this line once for first and once for corresponding since we couldn't separate them, and > 89% of submissions were known to be Chinese authors in both positions. "
