Study,Study type,Author position,Demographic,Demographic category,Assessor,Reviewer demographic,Reviewer ordinal scores,Min value,Max value,Reviewer_rescaled,Total manuscripts,Accept,Minor revision,Major revision,Reject with invitation to resubmit,Reject,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.716468941,0,1,0.716468941,17,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.607644968,0,1,0.607644968,940,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.67813551,0,1,0.67813551,3373,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.646512459,0,1,0.646512459,2853,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.645682312,0,1,0.645682312,5284,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.641999978,0,1,0.641999978,1738,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.635155441,0,1,0.635155441,847,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.627216761,0,1,0.627216761,355,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.585670664,0,1,0.585670664,733,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.587252323,0,1,0.587252323,1124,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.602518129,0,1,0.602518129,1300,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.628861757,0,1,0.628861757,590,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.599733817,0,1,0.599733817,981,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.648283156,0,1,0.648283156,404,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.640056333,0,1,0.640056333,79,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,0.728722648,0,1,0.728722648,46,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.626779788,0,1,0.626779788,481,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.693107717,0,1,0.693107717,2592,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.65845341,0,1,0.65845341,1862,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.685120042,0,1,0.685120042,3670,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.633037783,0,1,0.633037783,1098,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.653932672,0,1,0.653932672,767,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.650847315,0,1,0.650847315,336,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.661975968,0,1,0.661975968,417,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.630530551,0,1,0.630530551,881,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.625061965,0,1,0.625061965,765,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.67387797,0,1,0.67387797,311,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.623326377,0,1,0.623326377,426,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.64464031,0,1,0.64464031,225,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.657576756,0,1,0.657576756,17,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,0.643841595,0,1,0.643841595,23,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.638973371,0,1,0.638973371,1141,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.696401175,0,1,0.696401175,7231,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.641131877,0,1,0.641131877,5350,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.669927037,0,1,0.669927037,7699,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.63298035,0,1,0.63298035,2823,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.64402177,0,1,0.64402177,2222,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.674455936,0,1,0.674455936,1113,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.633441303,0,1,0.633441303,1397,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.592829047,0,1,0.592829047,2610,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.624150573,0,1,0.624150573,2349,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.631735821,0,1,0.631735821,763,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.586401463,0,1,0.586401463,1162,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.619158481,0,1,0.619158481,341,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.674256925,0,1,0.674256925,60,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,0.610440337,0,1,0.610440337,89,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Walker et al. (2015),Observational,First,Continent,Africa,Reviewer,Africa,3.86,0,10,0.386,1,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies. "
Walker et al. (2015),Observational,First,Continent,Asia,Reviewer,Asia,2.664625,0,10,0.2664625,160,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies."
Walker et al. (2015),Observational,First,Continent,Europe,Reviewer,Europe,2.637938252,0,10,0.263793825,1911,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies."
Walker et al. (2015),Observational,First,Continent,Latin America,Reviewer,Latin America,2.24,0,10,0.224,22,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies."
Walker et al. (2015),Observational,First,Continent,North America,Reviewer,North America,2.5,0,10,0.25,1983,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies."
Walker et al. (2015),Observational,First,Continent,Africa,Reviewer,Not Africa,3.069565217,0,10,0.306956522,23,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies."
Walker et al. (2015),Observational,First,Continent,Asia,Reviewer,Not Asia,2.972494062,0,10,0.297249406,421,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies."
Walker et al. (2015),Observational,First,Continent,Europe,Reviewer,Not Europe,2.683384434,0,10,0.268338443,1696,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies."
Walker et al. (2015),Observational,First,Continent,Latin America,Reviewer,Not Latin America,2.806648352,0,10,0.280664835,182,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies."
Walker et al. (2015),Observational,First,Continent,North America,Reviewer,Not North America,2.526863753,0,10,0.252686375,1556,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies."
Walker et al. (2015),Observational,First,Continent,Oceania,Reviewer,Not Oceania,3.04,0,10,0.304,20,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies."
Walker et al. (2015),Observational,First,Continent,Oceania,Reviewer,Oceania,2.582857143,0,10,0.258285714,203,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,"Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S5, but we had to create weighted estimates to bin the provided locational data into continents consistent with other studies."
Walker et al. (2015),Observational,First,ESL_all,English_all,Reviewer,English_all,2.51,0,10,0.251,2814,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S14
Walker et al. (2015),Observational,First,ESL_all,ESL_all,Reviewer,English_all,2.77,0,10,0.277,1794,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S14
Walker et al. (2015),Observational,First,ESL_all,English_all,Reviewer,ESL_all,2.49,0,10,0.249,1562,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S14
Walker et al. (2015),Observational,First,ESL_all,ESL_all,Reviewer,ESL_all,2.71,0,10,0.271,2138,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S14
Walker et al. (2015),Observational,First,Gender_1,Z_Female,Reviewer,Z_Female,2.64,0,10,0.264,658,NA,NA,NA,NA,NA,2009.5,Health sciences,Health sciences,2.7244,Reviewer scores,Reviewer scores are averages of reviewer ratings on 7 items where higher numbers are better. We reverse coded them to be 0 = best to 10 = worst. Standard deviations available in the Walker et al. 2015 Data S3
